Activity	Title	Location	Room	For	Description	Link	Youtube Code	Booking	Booking Notes	Booking Link	START1	END1	START2	END2	START3	END3	START4	END4
bioblitz	BioBlitz: making species count 	38	30		Discover an array of insects and minibeasts and learn about the way insect biodiversity supports ecosystem services such as pollination and soil nutrient cycling. Find out how you can take part in this year’s Southampton BioBlitz events this summer, at our Zany Zebra sculpture http://zanyzebras.org.uk/ 						2200	2300						
luminescence	Light, Colour & Luminescence 	38	John Roberts Room		You’ve all seen ‘Finding Nemo’ and the fish that glows in the dark but have you wondered how he does this?  Here we will look at things that ‘glow in the dark’ and explain how the materials do this.  We look at how the temperature can affect the intensity of the brightness and why this can be useful.  From glowing rocks to TV phosphors and light sticks, and even glow in the dark bacteria – we’ll help you see the light!						2200	2300						
microbes	Microbes under the microscope	38	16		Insects, worms, bugs and more: what lives in your garden? Our gardens and ponds are teeming with life - microscopic plants and animals are everywhere. Get up close and personal and see for yourself using our research microscopes. Have a go at our quiz “Everyday objects under the microscope” for your chance to win your own microscope.						2200	2300						
bacteria	Bacteria and viruses – small, mighty and sometimes deadly!	38	17		Latest sews headlines “bacteria and viruses attack”. If you’re wondering what can be done to manage one of the biggest challenges we face, come along and see how your immune system defends us against nature’s (almost) invisible army!						2200	2300						
head-to-toe	From Head to Toe: Exploring the Human Body	38	18		Discover the human body from head to toe – build the human skeleton, look at x-rays and see how a broken bone is repaired. Learn how the heart works and how we use life-saving technology.  Meet our life size, patient simulator and put your healthcare skills to the test! 						2200	2300						
cruk	Exploring cells with Cancer Research UK	38	20		Join the team from the Cancer Research UK Southampton Centre, and have a go at being a cancer scientist. Look at your cells under the microscope, try out tissue culture, and make a cell of your own to take home. 						2200	2300						
pint	Science in a Pint	38	21		Meet the Southampton Pint of Science team, and try our pint-sized experiments. Find out if you are a supertaster, see if you have what it takes to be an immune cell, and make an antibody to take away.						2200	2300						
behealthy	Eat, drink and be healthy	38	22		There is hidden sugar in many everyday foods. Come and learn about the sugar content of different breakfast and snack foods and drinks through our interactive activities, and add your pledge to eat more healthy foods to create a rainbow.						2200	2300						
vision	Human vision: More than a camera on legs	38	27		Perceiving the world around you is challenging for your brain. Often, the ‘best guess’ that our brain makes is different from the true physical world: illusions occur. We’ll demonstrate illusions that are fun and provide insight into how we see.						2200	2300						
evolution	Evolution: A simple idea, often made difficult, made simple.	38	29		Evolution by means of Natural Selection is one of the most important scientific discoveries ever explained.  Unfortunately it is also one of the most misunderstood ideas, which leads to confusion.  This display will show you the wonderful simplicity of Darwin’s theory making it easy for everyone to understand.  						2200	2300						
fossil	Fossil Frenzy	38	36		Come along and investigate the past!  Explore and handle ancient animal fossils, finger paint a dinosaur and create your very own peg pterosaur						2200	2300						
stemcell	Stem cell mountain	38	42		Combining the fun of a pin ball machine with a profound metaphor for a key biological concept, the stem cell mountain brings to life the complex idea of stem cell potential. This visually impressive and irresistible hands-on exhibit has engaged festival goers at Glastonbury and Bestival, science aficionados at the UK’s top Science Festivals, as well as the 100000+ visitors per year that visit the Winchester Science Centre where it is resident when not on the road. 						2200	2300						
physoc	Physoc: Magnetism and Nanotechnology	46	Foyer		Discover the amazing properties of ferrofluid, a colloidal liquid composed of nanoscale particles that becomes strongly magnetised in the presence of a magnetic field, with these hands-on activities suitable for all ages!						2200	2300						
einstein	Einstein's Secret Universe	46	Lecture Theatre B		Einstein was a clever chap, and predicted all sorts of weird and wonderful things.  In this popular talk, I will describe the last of his great predictions to be tested, involving gravity, lasers, and even black holes!						2200	2300						
astronauts	Astronauts needed for spaceship Earth	46	Lecture Theatre B		We fly though space on the surface of a planetary spaceship. We are changing some important properties that we and all life on Earth depends on. Find out how by coming to this talk with rocket videos and SCUBA kit.						2200	2300						
